seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation
27061,100,3,10,13,1219,100000,1,-81,-40,Mu1-unconst,XRAI_0.000000
29765,100,3,10,14,619,100000,1,-78,-35,Mu1-unconst,XRAI_0.000000
32669,100,3,10,15,562,100000,1,-78,-36,Mu1-unconst,XRAI_0.000000
35773,100,3,10,16,528,100000,1,-77,-37,Mu1-unconst,XRAI_0.000000
39077,100,3,10,17,930,100000,1,-80,-42,Mu1-unconst,XRAI_0.000000
42581,100,3,10,18,509,100000,1,-79,-41,Mu1-unconst,XRAI_0.000000
46285,100,3,10,19,756,100000,1,-77,-40,Mu1-unconst,XRAI_0.000000
50189,100,3,10,20,1059,100000,1,-80,-38,Mu1-unconst,XRAI_0.000000
54293,100,3,10,21,722,100000,1,-76,-37,Mu1-unconst,XRAI_0.000000
58597,100,3,10,22,972,100000,1,-79,-36,Mu1-unconst,XRAI_0.000000
63101,100,3,10,23,758,100000,1,-76,-39,Mu1-unconst,XRAI_0.000000
67805,100,3,10,24,936,100000,1,-78,-37,Mu1-unconst,XRAI_0.000000
72709,100,3,10,25,673,100000,1,-77,-34,Mu1-unconst,XRAI_0.000000
77813,100,3,10,26,1363,100000,1,-77,-35,Mu1-unconst,XRAI_0.000000
83117,100,3,10,27,1051,100000,1,-77,-32,Mu1-unconst,XRAI_0.000000
88621,100,3,10,28,1177,100000,1,-78,-38,Mu1-unconst,XRAI_0.000000
94325,100,3,10,29,664,100000,1,-82,-33,Mu1-unconst,XRAI_0.000000
10125,100,5,10,0,1098,100000,1,-67,-21,Mu1-unconst,XRAI_0.000000
10231,100,5,10,1,1183,100000,1,-65,-18,Mu1-unconst,XRAI_0.000000
10537,100,5,10,2,1816,100000,1,-64,-19,Mu1-unconst,XRAI_0.000000
11043,100,5,10,3,922,100000,1,-61,-15,Mu1-unconst,XRAI_0.000000
11749,100,5,10,4,697,100000,1,-68,-24,Mu1-unconst,XRAI_0.000000
12655,100,5,10,5,844,100000,1,-67,-21,Mu1-unconst,XRAI_0.000000
13761,100,5,10,6,1000,100000,1,-67,-21,Mu1-unconst,XRAI_0.000000
15067,100,5,10,7,1803,100000,1,-69,-16,Mu1-unconst,XRAI_0.000000
16573,100,5,10,8,666,100000,1,-64,-21,Mu1-unconst,XRAI_0.000000
18279,100,5,10,9,816,100000,1,-62,-22,Mu1-unconst,XRAI_0.000000
20185,100,5,10,10,922,100000,1,-68,-18,Mu1-unconst,XRAI_0.000000
22291,100,5,10,11,1096,100000,1,-65,-22,Mu1-unconst,XRAI_0.000000
24597,100,5,10,12,880,100000,1,-68,-21,Mu1-unconst,XRAI_0.000000
27103,100,5,10,13,1172,100000,1,-68,-17,Mu1-unconst,XRAI_0.000000
29809,100,5,10,14,1047,100000,1,-67,-20,Mu1-unconst,XRAI_0.000000
32715,100,5,10,15,1048,100000,1,-64,-21,Mu1-unconst,XRAI_0.000000
35821,100,5,10,16,1712,100000,1,-64,-20,Mu1-unconst,XRAI_0.000000
39127,100,5,10,17,1454,100000,1,-65,-19,Mu1-unconst,XRAI_0.000000
42633,100,5,10,18,973,100000,1,-63,-15,Mu1-unconst,XRAI_0.000000
46339,100,5,10,19,1143,100000,1,-66,-19,Mu1-unconst,XRAI_0.000000
50245,100,5,10,20,543,100000,1,-63,-18,Mu1-unconst,XRAI_0.000000
54351,100,5,10,21,683,100000,1,-66,-13,Mu1-unconst,XRAI_0.000000
58657,100,5,10,22,1238,100000,1,-69,-18,Mu1-unconst,XRAI_0.000000
63163,100,5,10,23,569,100000,1,-60,-8,Mu1-unconst,XRAI_0.000000
67869,100,5,10,24,616,100000,1,-64,-16,Mu1-unconst,XRAI_0.000000
72775,100,5,10,25,1124,100000,1,-66,-20,Mu1-unconst,XRAI_0.000000
77881,100,5,10,26,890,100000,1,-66,-22,Mu1-unconst,XRAI_0.000000
83187,100,5,10,27,1441,100000,1,-63,-19,Mu1-unconst,XRAI_0.000000
88693,100,5,10,28,1122,100000,1,-66,-21,Mu1-unconst,XRAI_0.000000
94399,100,5,10,29,849,100000,1,-67,-23,Mu1-unconst,XRAI_0.000000
10200,100,10,10,0,1545,100000,1,-48,0,Mu1-unconst,XRAI_0.000000
10311,100,10,10,1,896,100000,1,-44,0,Mu1-unconst,XRAI_0.000000
10622,100,10,10,2,865,100000,1,-43,0,Mu1-unconst,XRAI_0.000000
11133,100,10,10,3,722,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
11844,100,10,10,4,624,100000,1,-41,0,Mu1-unconst,XRAI_0.000000
12755,100,10,10,5,1219,100000,1,-48,0,Mu1-unconst,XRAI_0.000000
13866,100,10,10,6,1333,100000,1,-46,0,Mu1-unconst,XRAI_0.000000
15177,100,10,10,7,1231,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
16688,100,10,10,8,506,100000,1,-38,0,Mu1-unconst,XRAI_0.000000
18399,100,10,10,9,916,100000,1,-46,-3,Mu1-unconst,XRAI_0.000000
20310,100,10,10,10,1227,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
22421,100,10,10,11,1019,100000,1,-44,0,Mu1-unconst,XRAI_0.000000
24732,100,10,10,12,1253,100000,1,-44,0,Mu1-unconst,XRAI_0.000000
27243,100,10,10,13,1034,100000,1,-47,0,Mu1-unconst,XRAI_0.000000
29954,100,10,10,14,1440,100000,1,-46,0,Mu1-unconst,XRAI_0.000000
32865,100,10,10,15,1490,100000,1,-44,0,Mu1-unconst,XRAI_0.000000
35976,100,10,10,16,1073,100000,1,-46,-3,Mu1-unconst,XRAI_0.000000
39287,100,10,10,17,1087,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
42798,100,10,10,18,1215,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
46509,100,10,10,19,788,100000,1,-47,0,Mu1-unconst,XRAI_0.000000
50420,100,10,10,20,836,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
54531,100,10,10,21,834,100000,1,-47,0,Mu1-unconst,XRAI_0.000000
58842,100,10,10,22,866,100000,1,-35,0,Mu1-unconst,XRAI_0.000000
63353,100,10,10,23,1214,100000,1,-45,0,Mu1-unconst,XRAI_0.000000
68064,100,10,10,24,1015,100000,1,-47,0,Mu1-unconst,XRAI_0.000000
72975,100,10,10,25,1028,100000,1,-44,0,Mu1-unconst,XRAI_0.000000
78086,100,10,10,26,962,100000,1,-42,0,Mu1-unconst,XRAI_0.000000
83397,100,10,10,27,1287,100000,1,-41,0,Mu1-unconst,XRAI_0.000000
88908,100,10,10,28,1955,100000,1,-38,0,Mu1-unconst,XRAI_0.000000
94619,100,10,10,29,843,100000,1,-39,0,Mu1-unconst,XRAI_0.000000
62601,100,1,25,0,5143,250000,1,-91,-71,Mu1-unconst,XRAI_0.000000
62703,100,1,25,1,5765,250000,1,-93,-69,Mu1-unconst,XRAI_0.000000
63005,100,1,25,2,6103,250000,1,-91,-70,Mu1-unconst,XRAI_0.000000
63507,100,1,25,3,6520,250000,1,-93,-69,Mu1-unconst,XRAI_0.000000
64209,100,1,25,4,5796,250000,1,-92,-68,Mu1-unconst,XRAI_0.000000
65111,100,1,25,5,6716,250000,1,-89,-68,Mu1-unconst,XRAI_0.000000
66213,100,1,25,6,5979,250000,1,-91,-71,Mu1-unconst,XRAI_0.000000
67515,100,1,25,7,7024,250000,1,-91,-67,Mu1-unconst,XRAI_0.000000
69017,100,1,25,8,4584,250000,1,-90,-67,Mu1-unconst,XRAI_0.000000
70719,100,1,25,9,5211,250000,1,-91,-66,Mu1-unconst,XRAI_0.000000
72621,100,1,25,10,7613,250000,1,-90,-69,Mu1-unconst,XRAI_0.000000
74723,100,1,25,11,4657,250000,1,-92,-69,Mu1-unconst,XRAI_0.000000
77025,100,1,25,12,8349,250000,1,-91,-67,Mu1-unconst,XRAI_0.000000
79527,100,1,25,13,4638,250000,1,-90,-66,Mu1-unconst,XRAI_0.000000
82229,100,1,25,14,4926,250000,1,-91,-67,Mu1-unconst,XRAI_0.000000
85131,100,1,25,15,6108,250000,1,-91,-70,Mu1-unconst,XRAI_0.000000
88233,100,1,25,16,5578,250000,1,-91,-68,Mu1-unconst,XRAI_0.000000
91535,100,1,25,17,4117,250000,1,-91,-66,Mu1-unconst,XRAI_0.000000
95037,100,1,25,18,6618,250000,1,-89,-65,Mu1-unconst,XRAI_0.000000
98739,100,1,25,19,7161,250000,1,-89,-71,Mu1-unconst,XRAI_0.000000
102641,100,1,25,20,4870,250000,1,-91,-70,Mu1-unconst,XRAI_0.000000
106743,100,1,25,21,4347,250000,1,-92,-72,Mu1-unconst,XRAI_0.000000
111045,100,1,25,22,4484,250000,1,-92,-69,Mu1-unconst,XRAI_0.000000
115547,100,1,25,23,4376,250000,1,-90,-66,Mu1-unconst,XRAI_0.000000
120249,100,1,25,24,4893,250000,1,-89,-66,Mu1-unconst,XRAI_0.000000
125151,100,1,25,25,4166,250000,1,-92,-67,Mu1-unconst,XRAI_0.000000
130253,100,1,25,26,6222,250000,1,-91,-66,Mu1-unconst,XRAI_0.000000
135555,100,1,25,27,5481,250000,1,-92,-73,Mu1-unconst,XRAI_0.000000
141057,100,1,25,28,4980,250000,1,-90,-65,Mu1-unconst,XRAI_0.000000
146759,100,1,25,29,5119,250000,1,-91,-67,Mu1-unconst,XRAI_0.000000
62609,100,3,25,0,4805,250000,1,-78,-38,Mu1-unconst,XRAI_0.000000
62713,100,3,25,1,4489,250000,1,-76,-38,Mu1-unconst,XRAI_0.000000
63017,100,3,25,2,6088,250000,1,-77,-36,Mu1-unconst,XRAI_0.000000
63521,100,3,25,3,4723,250000,1,-75,-31,Mu1-unconst,XRAI_0.000000
64225,100,3,25,4,7633,250000,1,-72,-32,Mu1-unconst,XRAI_0.000000
65129,100,3,25,5,4722,250000,1,-75,-35,Mu1-unconst,XRAI_0.000000
66233,100,3,25,6,6040,250000,1,-77,-35,Mu1-unconst,XRAI_0.000000
67537,100,3,25,7,5027,250000,1,-73,-36,Mu1-unconst,XRAI_0.000000
69041,100,3,25,8,5846,250000,1,-77,-35,Mu1-unconst,XRAI_0.000000
70745,100,3,25,9,4634,250000,1,-79,-36,Mu1-unconst,XRAI_0.000000
72649,100,3,25,10,6374,250000,1,-76,-38,Mu1-unconst,XRAI_0.000000
74753,100,3,25,11,6529,250000,1,-77,-33,Mu1-unconst,XRAI_0.000000
77057,100,3,25,12,5238,250000,1,-78,-37,Mu1-unconst,XRAI_0.000000
79561,100,3,25,13,6725,250000,1,-78,-35,Mu1-unconst,XRAI_0.000000
82265,100,3,25,14,8867,250000,1,-77,-36,Mu1-unconst,XRAI_0.000000
85169,100,3,25,15,8528,250000,1,-76,-34,Mu1-unconst,XRAI_0.000000
88273,100,3,25,16,4463,250000,1,-75,-38,Mu1-unconst,XRAI_0.000000
