seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,algorithm,mutation,alpha,g,r,c
14959,50,5,10,14,1237,25000,1,-14,-1,NOAH,XRAI_0.000000,1,10,5,5
16415,50,5,10,15,1078,25000,1,-15,-1,NOAH,XRAI_0.000000,1,10,5,5
17971,50,5,10,16,1222,25000,1,-16,0,NOAH,XRAI_0.000000,1,10,5,5
19627,50,5,10,17,1357,25000,1,-17,-1,NOAH,XRAI_0.000000,1,10,5,5
21383,50,5,10,18,1072,25000,1,-16,0,NOAH,XRAI_0.000000,1,10,5,5
23239,50,5,10,19,1241,25000,1,-17,0,NOAH,XRAI_0.000000,1,10,5,5
25195,50,5,10,20,1125,25000,1,-17,0,NOAH,XRAI_0.000000,1,10,5,5
27251,50,5,10,21,920,25000,1,-17,0,NOAH,XRAI_0.000000,1,10,5,5
29407,50,5,10,22,1023,25000,1,-10,0,NOAH,XRAI_0.000000,1,10,5,5
31663,50,5,10,23,817,25000,1,-16,0,NOAH,XRAI_0.000000,1,10,5,5
34019,50,5,10,24,1220,25000,1,-17,0,NOAH,XRAI_0.000000,1,10,5,5
36475,50,5,10,25,1541,25000,1,-13,0,NOAH,XRAI_0.000000,1,10,5,5
39031,50,5,10,26,1273,25000,1,-21,-2,NOAH,XRAI_0.000000,1,10,5,5
41687,50,5,10,27,1083,25000,1,-14,0,NOAH,XRAI_0.000000,1,10,5,5
44443,50,5,10,28,913,25000,1,-18,0,NOAH,XRAI_0.000000,1,10,5,5
47299,50,5,10,29,901,25000,1,-13,0,NOAH,XRAI_0.000000,1,10,5,5
5150,50,10,10,0,1494,25000,1,-5,0,NOAH,XRAI_0.000000,1,10,5,5
5211,50,10,10,1,879,25000,1,-3,0,NOAH,XRAI_0.000000,1,10,5,5
5372,50,10,10,2,1538,25000,1,-3,0,NOAH,XRAI_0.000000,1,10,5,5
5633,50,10,10,3,1258,25000,1,-4,0,NOAH,XRAI_0.000000,1,10,5,5
5994,50,10,10,4,1316,25000,1,-6,0,NOAH,XRAI_0.000000,1,10,5,5
6455,50,10,10,5,1424,25000,1,-5,0,NOAH,XRAI_0.000000,1,10,5,5
7016,50,10,10,6,1082,25000,1,-8,0,NOAH,XRAI_0.000000,1,10,5,5
7677,50,10,10,7,1642,25000,1,-7,0,NOAH,XRAI_0.000000,1,10,5,5
8438,50,10,10,8,1454,25000,1,-3,0,NOAH,XRAI_0.000000,1,10,5,5
9299,50,10,10,9,933,25000,1,-8,0,NOAH,XRAI_0.000000,1,10,5,5
10260,50,10,10,10,1151,25000,1,-5,0,NOAH,XRAI_0.000000,1,10,5,5
11321,50,10,10,11,1279,25000,1,-4,0,NOAH,XRAI_0.000000,1,10,5,5
12482,50,10,10,12,1106,25000,1,-2,0,NOAH,XRAI_0.000000,1,10,5,5
13743,50,10,10,13,1098,25000,1,-4,0,NOAH,XRAI_0.000000,1,10,5,5
15104,50,10,10,14,1293,25000,1,-5,0,NOAH,XRAI_0.000000,1,10,5,5
16565,50,10,10,15,1874,25000,1,-2,0,NOAH,XRAI_0.000000,1,10,5,5
18126,50,10,10,16,1021,25000,1,-6,0,NOAH,XRAI_0.000000,1,10,5,5
19787,50,10,10,17,1071,25000,1,-7,0,NOAH,XRAI_0.000000,1,10,5,5
21548,50,10,10,18,1490,25000,1,-2,0,NOAH,XRAI_0.000000,1,10,5,5
23409,50,10,10,19,1984,25000,1,-4,0,NOAH,XRAI_0.000000,1,10,5,5
25370,50,10,10,20,1519,25000,1,-5,0,NOAH,XRAI_0.000000,1,10,5,5
27431,50,10,10,21,1379,25000,1,-2,0,NOAH,XRAI_0.000000,1,10,5,5
29592,50,10,10,22,997,25000,1,-5,0,NOAH,XRAI_0.000000,1,10,5,5
31853,50,10,10,23,1361,25000,1,-7,0,NOAH,XRAI_0.000000,1,10,5,5
34214,50,10,10,24,1509,25000,1,-3,0,NOAH,XRAI_0.000000,1,10,5,5
