seed,n,m,mu,run,generations,max_generations,diversity,fitness,opt,alpha,algorithm,mutation
1682,5,1,2,18,18,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1869,5,1,2,19,8,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2066,5,1,2,20,50,50,0.75,0,0,0.2,Mu1-const,XRAI_0.250000
2273,5,1,2,21,18,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2490,5,1,2,22,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2717,5,1,2,23,11,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2954,5,1,2,24,19,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
3201,5,1,2,25,18,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
3458,5,1,2,26,21,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
3725,5,1,2,27,11,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
4002,5,1,2,28,50,50,0.75,0,0,0.2,Mu1-const,XRAI_0.250000
4289,5,1,2,29,5,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
34,5,3,2,0,3,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
43,5,3,2,1,9,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
62,5,3,2,2,7,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
91,5,3,2,3,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
130,5,3,2,4,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
179,5,3,2,5,1,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
238,5,3,2,6,14,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
307,5,3,2,7,5,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
386,5,3,2,8,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
475,5,3,2,9,3,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
574,5,3,2,10,7,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
683,5,3,2,11,8,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
802,5,3,2,12,1,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
931,5,3,2,13,2,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1070,5,3,2,14,6,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1219,5,3,2,15,5,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1378,5,3,2,16,15,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1547,5,3,2,17,9,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1726,5,3,2,18,5,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
1915,5,3,2,19,5,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2114,5,3,2,20,2,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2323,5,3,2,21,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2542,5,3,2,22,4,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
2771,5,3,2,23,7,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
3010,5,3,2,24,3,50,1,0,0,0.2,Mu1-const,XRAI_0.250000
