seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,init
1107,10,1,10,3,0.931707,3,0,Mu1-unconst,NSWAP,5.0,0
1179,10,1,10,4,0.856556,2,1,Mu1-unconst,NSWAP,-1.0,1
13083,50,1,2,16,0.959184,45,25,Mu1-unconst,NSWAP,-1.0,1
10662,25,1,10,18,1.0,16,8,Mu1-unconst,NSWAP,-1.0,0
11589,25,1,10,19,0.929453,18,10,Mu1-unconst,NSWAP,18.0,1
13083,50,1,2,16,1.0,43,25,Mu1-unconst,NSWAP,-1.0,0
14735,50,1,2,17,1.0,44,27,Mu1-unconst,NSWAP,-1.0,1
1179,10,1,10,4,0.947622,2,1,Mu1-unconst,NSWAP,-1.0,0
1271,10,1,10,5,0.839411,1,0,Mu1-unconst,NSWAP,-1.0,1
14735,50,1,2,17,1.0,44,27,Mu1-unconst,NSWAP,-1.0,0
16487,50,1,2,18,1.0,43,26,Mu1-unconst,NSWAP,-1.0,1
16487,50,1,2,18,1.0,43,26,Mu1-unconst,NSWAP,-1.0,0
18339,50,1,2,19,1.0,43,25,Mu1-unconst,NSWAP,-1.0,1
18339,50,1,2,19,1.0,43,25,Mu1-unconst,NSWAP,-1.0,0
20291,50,1,2,20,0.979592,41,26,Mu1-unconst,NSWAP,41.0,1
5895,10,1,10,22,0.938025,2,0,Mu1-unconst,NSWAP,5.0,0
6347,10,1,10,23,0.862414,3,0,Mu1-unconst,NSWAP,4.0,1
20291,50,1,2,20,1.0,41,26,Mu1-unconst,NSWAP,-1.0,0
22343,50,1,2,21,0.979592,43,29,Mu1-unconst,NSWAP,-1.0,1
22343,50,1,2,21,1.0,43,29,Mu1-unconst,NSWAP,-1.0,0
24495,50,1,2,22,0.979592,42,25,Mu1-unconst,NSWAP,-1.0,1
1271,10,1,10,5,0.93585,1,0,Mu1-unconst,NSWAP,4.0,0
1383,10,1,10,6,0.868532,2,0,Mu1-unconst,NSWAP,5.0,1
24495,50,1,2,22,1.0,42,25,Mu1-unconst,NSWAP,-1.0,0
26747,50,1,2,23,1.0,43,26,Mu1-unconst,NSWAP,-1.0,1
26747,50,1,2,23,1.0,43,26,Mu1-unconst,NSWAP,-1.0,0
2553,25,1,10,1,1.0,17,7,Mu1-unconst,NSWAP,-1.0,0
2630,25,1,10,2,0.936962,18,8,Mu1-unconst,NSWAP,18.0,1
21287,50,1,10,18,1.0,42,24,Mu1-unconst,NSWAP,44.0,0
23139,50,1,10,19,0.968826,42,24,Mu1-unconst,NSWAP,-1.0,1
6347,10,1,10,23,0.94028,2,0,Mu1-unconst,NSWAP,3.0,0
6819,10,1,10,24,0.867492,2,0,Mu1-unconst,NSWAP,3.0,1
1383,10,1,10,6,0.931707,2,0,Mu1-unconst,NSWAP,5.0,0
1515,10,1,10,7,0.855603,4,1,Mu1-unconst,NSWAP,4.0,1
11589,25,1,10,19,1.0,17,10,Mu1-unconst,NSWAP,19.0,0
12566,25,1,10,20,0.946931,17,8,Mu1-unconst,NSWAP,-1.0,1
6819,10,1,10,24,0.945065,1,0,Mu1-unconst,NSWAP,5.0,0
7311,10,1,10,25,0.859454,3,0,Mu1-unconst,NSWAP,5.0,1
1515,10,1,10,7,0.945065,4,1,Mu1-unconst,NSWAP,4.0,0
1667,10,1,10,8,0.825493,2,0,Mu1-unconst,NSWAP,5.0,1
7311,10,1,10,25,0.94028,3,0,Mu1-unconst,NSWAP,5.0,0
7823,10,1,10,26,0.839411,3,0,Mu1-unconst,NSWAP,-1.0,1
1667,10,1,10,8,0.94028,2,0,Mu1-unconst,NSWAP,3.0,0
1839,10,1,10,9,0.826281,1,0,Mu1-unconst,NSWAP,-1.0,1
7823,10,1,10,26,0.945065,3,0,Mu1-unconst,NSWAP,6.0,0
8355,10,1,10,27,0.847292,3,0,Mu1-unconst,NSWAP,-1.0,1
1839,10,1,10,9,0.93585,1,0,Mu1-unconst,NSWAP,-1.0,0
2031,10,1,10,10,0.862414,3,1,Mu1-unconst,NSWAP,4.0,1
5051,50,1,10,0,1.0,42,26,Mu1-unconst,NSWAP,-1.0,0
5103,50,1,10,1,0.966952,42,29,Mu1-unconst,NSWAP,-1.0,1
8355,10,1,10,27,0.942622,3,0,Mu1-unconst,NSWAP,4.0,0
8907,10,1,10,28,0.859454,4,0,Mu1-unconst,NSWAP,4.0,1
23139,50,1,10,19,1.0,42,24,Mu1-unconst,NSWAP,-1.0,0
25091,50,1,10,20,0.97082,40,25,Mu1-unconst,NSWAP,-1.0,1
2630,25,1,10,2,1.0,17,8,Mu1-unconst,NSWAP,-1.0,0
2757,25,1,10,3,0.957417,18,8,Mu1-unconst,NSWAP,-1.0,1
2031,10,1,10,10,0.93585,2,1,Mu1-unconst,NSWAP,4.0,0
2243,10,1,10,11,0.840268,3,1,Mu1-unconst,NSWAP,4.0,1
12566,25,1,10,20,1.0,17,8,Mu1-unconst,NSWAP,-1.0,0
13593,25,1,10,21,0.949158,15,4,Mu1-unconst,NSWAP,16.0,1
8907,10,1,10,28,0.947622,4,0,Mu1-unconst,NSWAP,5.0,0
9479,10,1,10,29,0.882879,3,1,Mu1-unconst,NSWAP,4.0,1
2243,10,1,10,11,0.93585,3,1,Mu1-unconst,NSWAP,3.0,0
2475,10,1,10,12,0.841995,2,0,Mu1-unconst,NSWAP,4.0,1
9479,10,1,10,29,0.942622,3,1,Mu1-unconst,NSWAP,3.0,0
2757,25,1,10,3,1.0,18,8,Mu1-unconst,NSWAP,-1.0,0
2934,25,1,10,4,0.943754,19,10,Mu1-unconst,NSWAP,-1.0,1
2475,10,1,10,12,0.93585,1,0,Mu1-unconst,NSWAP,3.0,0
2727,10,1,10,13,0.862414,2,0,Mu1-unconst,NSWAP,-1.0,1
13593,25,1,10,21,1.0,15,4,Mu1-unconst,NSWAP,17.0,0
14670,25,1,10,22,0.933391,18,9,Mu1-unconst,NSWAP,-1.0,1
