seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,alpha,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
2039,10,1,2,14,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2039,10,1,2,14,1,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2331,10,1,2,15,0,0,0,Mu1-const,XRAI_2.000000,0.1,-1.000000,-1.000000,-1.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2216,50,10,2,6,0.0816327,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,-2.000000,-2.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,1
1070,5,3,2,14,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1219,5,3,2,15,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1219,5,3,2,15,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1378,5,3,2,16,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1378,5,3,2,16,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1547,5,3,2,17,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1547,5,3,2,17,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1726,5,3,2,18,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1726,5,3,2,18,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
1915,5,3,2,19,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
1915,5,3,2,19,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2114,5,3,2,20,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2114,5,3,2,20,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2323,5,3,2,21,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2323,5,3,2,21,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2542,5,3,2,22,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2542,5,3,2,22,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
2771,5,3,2,23,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
2771,5,3,2,23,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3010,5,3,2,24,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
3010,5,3,2,24,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3259,5,3,2,25,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
3259,5,3,2,25,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3518,5,3,2,26,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
3518,5,3,2,26,1,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,0
3787,5,3,2,27,0,0,0,Mu1-const,XRAI_2.000000,0.1,-2.000000,0.000000,-1.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000,1
