seed,n,m,mu,run,diversity,fitness,OPT,algorithm,mutation,rob_test_0,rob_test_1,rob_test_2,rob_test_3,rob_test_4,rob_test_5,rob_test_6,rob_test_7,init
555,10,1,2,7,1.0,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
707,10,1,2,8,0.888889,6,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
707,10,1,2,8,1.0,6,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
879,10,1,2,9,1.0,4,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
879,10,1,2,9,1.0,4,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
1071,10,1,2,10,0.888889,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
1071,10,1,2,10,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
1283,10,1,2,11,0.888889,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
1283,10,1,2,11,1.0,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
1515,10,1,2,12,0.888889,5,1,Mu1-unconst,NSWAP,5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
1515,10,1,2,12,1.0,5,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
1767,10,1,2,13,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
1767,10,1,2,13,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
2039,10,1,2,14,0.888889,6,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
2039,10,1,2,14,1.0,6,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
2331,10,1,2,15,1.0,5,0,Mu1-unconst,NSWAP,5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
2331,10,1,2,15,1.0,5,0,Mu1-unconst,NSWAP,5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
2643,10,1,2,16,0.888889,3,2,Mu1-unconst,NSWAP,5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
2643,10,1,2,16,1.0,3,2,Mu1-unconst,NSWAP,5.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
2975,10,1,2,17,0.888889,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
2975,10,1,2,17,1.0,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
3327,10,1,2,18,0.888889,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
3327,10,1,2,18,1.0,5,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
3699,10,1,2,19,0.888889,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
3699,10,1,2,19,1.0,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
14574,25,1,2,24,1.0,19,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
15801,25,1,2,25,1.0,20,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
153,25,1,2,1,1.0,19,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
230,25,1,2,2,1.0,18,4,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
4091,10,1,2,20,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
4091,10,1,2,20,1.0,4,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
4503,10,1,2,21,0.888889,5,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
4503,10,1,2,21,1.0,5,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
4935,10,1,2,22,1.0,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
4935,10,1,2,22,1.0,3,0,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
5387,10,1,2,23,0.777778,6,1,Mu1-unconst,NSWAP,7.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,True
5387,10,1,2,23,1.0,6,1,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,False
15801,25,1,2,25,1.0,20,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
17078,25,1,2,26,0.916667,20,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
230,25,1,2,2,1.0,18,4,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
357,25,1,2,3,0.958333,16,7,Mu1-unconst,NSWAP,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
17078,25,1,2,26,1.0,20,9,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
29099,50,1,2,24,0.979592,43,27,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True
251,50,1,2,0,0.918367,44,24,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True
357,25,1,2,3,1.0,16,7,Mu1-unconst,NSWAP,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
18405,25,1,2,27,0.958333,15,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
18405,25,1,2,27,1.0,15,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
534,25,1,2,4,0.916667,18,5,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
21287,50,1,10,18,0.977644,42,24,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True
534,25,1,2,4,1.0,18,5,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
38525,50,1,25,12,0.971894,40,25,Mu1-unconst,NSWAP,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True
761,25,1,2,5,1.0,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
19782,25,1,2,28,0.875,15,5,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
761,25,1,2,5,1.0,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
1038,25,1,2,6,0.958333,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
29099,50,1,2,24,1.0,43,27,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
19782,25,1,2,28,1.0,15,5,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
21209,25,1,2,29,0.958333,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
1038,25,1,2,6,1.0,18,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
1365,25,1,2,7,0.916667,16,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
1365,25,1,2,7,1.0,16,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
126863,50,1,50,6,0.972036,40,26,Mu1-unconst,NSWAP,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True
21209,25,1,2,29,1.0,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
1742,25,1,2,8,1.0,19,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
1742,25,1,2,8,1.0,19,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
2526,25,1,10,0,0.928908,18,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
31551,50,1,2,25,0.959184,42,25,Mu1-unconst,NSWAP,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True
251,50,1,2,0,1.0,43,24,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
2169,25,1,2,9,0.958333,18,6,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
2169,25,1,2,9,1.0,18,6,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
2646,25,1,2,10,1.0,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
2646,25,1,2,10,1.0,19,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
3173,25,1,2,11,1.0,17,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
3173,25,1,2,11,1.0,17,7,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
3750,25,1,2,12,0.958333,17,6,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
3750,25,1,2,12,1.0,17,6,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
4377,25,1,2,13,1.0,17,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,True
4377,25,1,2,13,1.0,17,8,Mu1-unconst,NSWAP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,False
